misconception_id,statement,why_wrong,real_world_consequence
D01,Heavier objects fall faster than lighter ones,"In the absence of air resistance all objects accelerate downward at the same rate regardless of mass; the greater gravitational force on a heavier object is exactly cancelled by its greater inertia","Students mispredict the outcome of nearly every free-fall problem and distrust the result when they see it demonstrated"
D02,A constant force produces a constant velocity,"A constant net force produces a constant acceleration, not a constant velocity; constant velocity requires zero net force","Students cannot correctly read a velocity-time graph or predict motion under a steady push"
D03,"If an object is moving, there must be a force pushing it in the direction of motion","An object in motion continues at constant velocity with no net force at all; this is Newton's first law, and the intuition it displaces is the medieval impetus theory","Students invent forces that do not exist when drawing free-body diagrams"
D04,An object at rest has no forces acting on it,"A book on a table has both gravity and the normal force acting on it; they sum to zero, which is not the same as being absent","Students omit the normal force and get every equilibrium problem wrong"
D05,"In a collision, the heavier object exerts a greater force on the lighter one","The forces are equal in magnitude and opposite in direction by Newton's third law; the lighter object accelerates more because it has less mass, not because it is pushed harder","Students misanalyse every collision and cannot explain why a truck damages a car more than the reverse"
D06,Heat and temperature are the same thing,"Temperature measures the average kinetic energy of particles; heat is energy transferred between systems because of a temperature difference. A bathtub of warm water contains far more heat than a spark that is far hotter","Students cannot explain why a large cool object can melt more ice than a small hot one"
D07,The seasons are caused by the Earth being closer to the Sun in summer,"The seasons are caused by the tilt of the Earth's axis, which changes the angle and duration of sunlight; the Earth is in fact closest to the Sun in early January","Students cannot explain why the northern and southern hemispheres have opposite seasons at the same time"
D08,Electric current is used up as it travels around a circuit,"Charge is conserved: the current entering a resistor equals the current leaving it. What is used up is energy, not current","Students predict that a bulb nearer the battery will be brighter, and misread every series circuit"
D09,The phases of the Moon are caused by the Earth's shadow falling on it,"Phases are caused by which part of the sunlit half of the Moon faces the Earth as it orbits; the Earth's shadow on the Moon is a lunar eclipse, which is a different and much rarer event","Students cannot explain why a lunar eclipse is rare while a full moon happens monthly"
D10,Astronauts float in orbit because there is no gravity in space,"Gravity at the altitude of the space station is about 90% of its value at the surface; astronauts float because they and the station are in continuous free fall around the Earth","Students cannot explain what an orbit is, and treat weightlessness as the absence of a force rather than the absence of a support force"
