misconception_id,statement,why_wrong,real_world_consequence
M01,<paste one of your 10 chosen misconception statements here>,<one sentence: why is this belief actually wrong?>,<what bad thing happens if a person believes this?>
M02,<statement>,<why wrong>,<consequence>
M03,<statement>,<why wrong>,<consequence>
M04,<statement>,<why wrong>,<consequence>
M05,<statement>,<why wrong>,<consequence>
M06,<statement>,<why wrong>,<consequence>
M07,<statement>,<why wrong>,<consequence>
M08,<statement>,<why wrong>,<consequence>
M09,<statement>,<why wrong>,<consequence>
M10,<statement>,<why wrong>,<consequence>
