response_id,misconception_id,ground_truth,response_text,notes
R01,M01,M,<a realistic student response that SHOWS misconception M01>,
R02,M01,M,<a second response showing M01 — worded differently>,
R03,M01,C,<a correct response about the same sub-topic as M01>,
R04,M01,C,<a second correct response about that sub-topic>,
R05,M02,M,<response showing M02>,
R06,M02,M,<second response showing M02>,
R07,M02,C,<correct response on the same sub-topic>,
R08,M02,C,<second correct response>,
R09,M03,M,<response showing M03>,
R10,M03,M,<second response showing M03>,
R11,M03,C,<correct response on the same sub-topic>,
R12,M03,C,<second correct response>,
R13,M04,M,<response showing M04>,
R14,M04,M,<second response showing M04>,
R15,M04,C,<correct response on the same sub-topic>,
R16,M04,C,<second correct response>,
R17,M05,M,<response showing M05>,
R18,M05,M,<second response showing M05>,
R19,M05,C,<correct response on the same sub-topic>,
R20,M05,C,<second correct response>,
R21,M06,M,<response showing M06>,
R22,M06,M,<second response showing M06>,
R23,M06,C,<correct response on the same sub-topic>,
R24,M06,C,<second correct response>,
R25,M07,M,<response showing M07>,
R26,M07,M,<second response showing M07>,
R27,M07,C,<correct response on the same sub-topic>,
R28,M07,C,<second correct response>,
R29,M08,M,<response showing M08>,
R30,M08,M,<second response showing M08>,
R31,M08,C,<correct response on the same sub-topic>,
R32,M08,C,<second correct response>,
R33,M09,M,<response showing M09>,
R34,M09,M,<second response showing M09>,
R35,M09,C,<correct response on the same sub-topic>,
R36,M09,C,<second correct response>,
R37,M10,M,<response showing M10>,
R38,M10,M,<second response showing M10>,
R39,M10,C,<correct response on the same sub-topic>,
R40,M10,C,<second correct response>,
